"academicyear","countycode","districtcode","schoolcode","countyname","districtname","schoolname","districttype","schooltype","educationaloptiontype","nslpstatus","ischarterschool","charterschoolnumber","charterfundingtype","isirc","lowgrade","highgrade","enrollment_k-12","freemealcount_k-12","percenteligiblefree_k-12","frpmcount_k-12","percenteligiblefrpm_k-12","enrollment_5-17","freemealcount_5-17","percenteligiblefree_5-17","frpmcount_5-17","percenteligiblefrpm_5-17","iscalpadscertified","schooltypegroup"
"2018-2019",37,68221,6038756,"SAN DIEGO","NATIONAL ELEMENTARY","JOHN A. OTIS ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","6",466,346,74.2,381,81.8,454,337,74.2,372,81.9,TRUE,"Elementary School"
"2018-2019",37,68221,6038764,"SAN DIEGO","NATIONAL ELEMENTARY","IRA HARBISON","Elementary School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","6",523,284,54.3,332,63.5,509,274,53.8,321,63.1,TRUE,"Elementary School"
"2018-2019",37,68221,6038772,"SAN DIEGO","NATIONAL ELEMENTARY","KIMBALL","Elementary School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","6",402,252,62.7,277,68.9,402,252,62.7,277,68.9,TRUE,"Elementary School"
"2018-2019",37,68221,6038780,"SAN DIEGO","NATIONAL ELEMENTARY","LAS PALMAS","Elementary School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","6",642,428,66.7,501,78,625,417,66.7,487,77.9,TRUE,"Elementary School"
"2018-2019",37,68221,6038798,"SAN DIEGO","NATIONAL ELEMENTARY","LINCOLN ACRES","Elementary School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"P","6",552,373,67.6,419,75.9,550,372,67.6,418,76,TRUE,"Elementary School"
"2018-2019",37,68221,6038806,"SAN DIEGO","NATIONAL ELEMENTARY","OLIVEWOOD","Elementary School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","6",593,418,70.5,471,79.4,583,414,71,465,79.8,TRUE,"Elementary School"
"2018-2019",37,68221,6038814,"SAN DIEGO","NATIONAL ELEMENTARY","PALMER WAY","Elementary School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","6",522,341,65.3,391,74.9,509,332,65.2,379,74.5,TRUE,"Elementary School"
"2018-2019",37,68221,6108559,"SAN DIEGO","NATIONAL ELEMENTARY","RANCHO DE LA NACION","Elementary School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","6",442,334,75.6,363,82.1,441,333,75.5,362,82.1,TRUE,"Elementary School"
"2018-2019",37,68296,0,"SAN DIEGO","POWAY UNIFIED","DISTRICT OFFICE","Unified School District",NA,NA,NA,NA,NA,NA,NA,"K","Adult",16,4,25,4,25,15,3,20,3,20,TRUE,NA
"2018-2019",37,68296,1,"SAN DIEGO","POWAY UNIFIED","NONPUBLIC, NONSECTARIAN SCHOOLS","Unified School District",NA,NA,NA,NA,NA,NA,NA,NA,NA,73,7,9.6,7,9.6,55,5,9.1,5,9.1,TRUE,NA
"2018-2019",37,68296,102822,"SAN DIEGO","POWAY UNIFIED","STONE RANCH ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",832,43,5.2,56,6.7,818,40,4.9,53,6.5,TRUE,"Elementary School"
"2018-2019",37,68296,108332,"SAN DIEGO","POWAY UNIFIED","OAK VALLEY MIDDLE","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",1504,109,7.2,127,8.4,1504,109,7.2,127,8.4,TRUE,"Middle School"
"2018-2019",37,68296,111187,"SAN DIEGO","POWAY UNIFIED","MONTEREY RIDGE ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",993,95,9.6,107,10.8,975,91,9.3,103,10.6,TRUE,"Elementary School"
"2018-2019",37,68296,116475,"SAN DIEGO","POWAY UNIFIED","DEL SUR ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",970,67,6.9,75,7.7,939,64,6.8,72,7.7,TRUE,"Elementary School"
"2018-2019",37,68296,116764,"SAN DIEGO","POWAY UNIFIED","WILLOW GROVE ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",790,76,9.6,86,10.9,773,75,9.7,85,11,TRUE,"Elementary School"
"2018-2019",37,68296,118935,"SAN DIEGO","POWAY UNIFIED","DEL NORTE HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2351,248,10.5,279,11.9,2323,243,10.5,272,11.7,TRUE,"High School"
"2018-2019",37,68296,129056,"SAN DIEGO","POWAY UNIFIED","DESIGN 39 CAMPUS","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","8",1134,103,9.1,133,11.7,1118,103,9.2,132,11.8,TRUE,"Elementary School"
"2018-2019",37,68296,3730074,"SAN DIEGO","POWAY UNIFIED","MT. CARMEL HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",1906,386,20.3,469,24.6,1862,368,19.8,451,24.2,TRUE,"High School"
"2018-2019",37,68296,3730819,"SAN DIEGO","POWAY UNIFIED","RANCHO BERNARDO HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2373,359,15.1,443,18.7,2325,355,15.3,437,18.8,TRUE,"High School"
"2018-2019",37,68296,3731528,"SAN DIEGO","POWAY UNIFIED","WESTVIEW HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2384,312,13.1,370,15.5,2342,302,12.9,359,15.3,TRUE,"High School"
"2018-2019",37,68296,3735842,"SAN DIEGO","POWAY UNIFIED","ABRAXAS CONTINUATION HIGH","Unified School District","Continuation High Schools","CONTINUATION SCHOOL",NA,NA,NA,NA,FALSE,"9","12",199,66,33.2,71,35.7,69,30,43.5,33,47.8,TRUE,"Other"
"2018-2019",37,68296,3735867,"SAN DIEGO","POWAY UNIFIED","POWAY HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",2253,501,22.2,580,25.7,2191,486,22.2,564,25.7,TRUE,"High School"
"2018-2019",37,68296,6038970,"SAN DIEGO","POWAY UNIFIED","GARDEN ROAD ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",458,75,16.4,94,20.5,448,74,16.5,92,20.5,TRUE,"Elementary School"
"2018-2019",37,68296,6038988,"SAN DIEGO","POWAY UNIFIED","MEADOWBROOK MIDDLE","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",1315,312,23.7,398,30.3,1315,312,23.7,398,30.3,TRUE,"Middle School"
"2018-2019",37,68296,6038996,"SAN DIEGO","POWAY UNIFIED","MIDLAND ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",625,208,33.3,243,38.9,611,204,33.4,239,39.1,TRUE,"Elementary School"
"2018-2019",37,68296,6039002,"SAN DIEGO","POWAY UNIFIED","POMERADO ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",366,137,37.4,160,43.7,360,135,37.5,158,43.9,TRUE,"Elementary School"
"2018-2019",37,68296,6039010,"SAN DIEGO","POWAY UNIFIED","VALLEY ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",726,295,40.6,336,46.3,713,289,40.5,329,46.1,TRUE,"Elementary School"
"2018-2019",37,68296,6070841,"SAN DIEGO","POWAY UNIFIED","LOS PENASQUITOS ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",533,187,35.1,227,42.6,516,182,35.3,222,43,TRUE,"Elementary School"
"2018-2019",37,68296,6070858,"SAN DIEGO","POWAY UNIFIED","WESTWOOD ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",820,105,12.8,129,15.7,803,104,13,128,15.9,TRUE,"Elementary School"
"2018-2019",37,68296,6070866,"SAN DIEGO","POWAY UNIFIED","TWIN PEAKS MIDDLE","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",1229,258,21,295,24,1229,258,21,295,24,TRUE,"Middle School"
"2018-2019",37,68296,6085088,"SAN DIEGO","POWAY UNIFIED","PAINTED ROCK ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",671,55,8.2,76,11.3,656,54,8.2,75,11.4,TRUE,"Elementary School"
"2018-2019",37,68296,6093223,"SAN DIEGO","POWAY UNIFIED","BLACK MOUNTAIN MIDDLE","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",1269,242,19.1,305,24,1269,242,19.1,305,24,TRUE,"Middle School"
"2018-2019",37,68296,6093231,"SAN DIEGO","POWAY UNIFIED","SUNSET HILLS ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",444,51,11.5,58,13.1,436,48,11,55,12.6,TRUE,"Elementary School"
"2018-2019",37,68296,6095053,"SAN DIEGO","POWAY UNIFIED","TIERRA BONITA ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",465,61,13.1,77,16.6,462,60,13,76,16.5,TRUE,"Elementary School"
"2018-2019",37,68296,6097208,"SAN DIEGO","POWAY UNIFIED","ROLLING HILLS ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",417,57,13.7,69,16.5,408,56,13.7,68,16.7,TRUE,"Elementary School"
"2018-2019",37,68296,6097216,"SAN DIEGO","POWAY UNIFIED","CHAPARRAL ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",837,100,11.9,113,13.5,810,98,12.1,111,13.7,TRUE,"Elementary School"
"2018-2019",37,68296,6099444,"SAN DIEGO","POWAY UNIFIED","SUNDANCE ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",445,59,13.3,73,16.4,432,58,13.4,70,16.2,TRUE,"Elementary School"
"2018-2019",37,68296,6106520,"SAN DIEGO","POWAY UNIFIED","CANYON VIEW ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",501,56,11.2,77,15.4,491,56,11.4,77,15.7,TRUE,"Elementary School"
"2018-2019",37,68296,6107460,"SAN DIEGO","POWAY UNIFIED","BERNARDO HEIGHTS MIDDLE","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",1562,244,15.6,305,19.5,1562,244,15.6,305,19.5,TRUE,"Middle School"
"2018-2019",37,68296,6109300,"SAN DIEGO","POWAY UNIFIED","DEER CANYON ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",457,41,9,49,10.7,448,41,9.2,49,10.9,TRUE,"Elementary School"
"2018-2019",37,68296,6109318,"SAN DIEGO","POWAY UNIFIED","MORNING CREEK ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",746,113,15.1,134,18,731,111,15.2,132,18.1,TRUE,"Elementary School"
"2018-2019",37,68296,6109326,"SAN DIEGO","POWAY UNIFIED","TURTLEBACK ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",617,100,16.2,113,18.3,606,100,16.5,113,18.6,TRUE,"Elementary School"
"2018-2019",37,68296,6110878,"SAN DIEGO","POWAY UNIFIED","ADOBE BLUFFS ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",430,43,10,51,11.9,417,40,9.6,47,11.3,TRUE,"Elementary School"
"2018-2019",37,68296,6110886,"SAN DIEGO","POWAY UNIFIED","HIGHLAND RANCH ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",683,73,10.7,97,14.2,667,72,10.8,95,14.2,TRUE,"Elementary School"
"2018-2019",37,68296,6111306,"SAN DIEGO","POWAY UNIFIED","MESA VERDE MIDDLE","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",1339,161,12,201,15,1339,161,12,201,15,TRUE,"Middle School"
"2018-2019",37,68296,6111314,"SAN DIEGO","POWAY UNIFIED","PARK VILLAGE ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",615,48,7.8,58,9.4,606,46,7.6,56,9.2,TRUE,"Elementary School"
"2018-2019",37,68296,6114854,"SAN DIEGO","POWAY UNIFIED","SHOAL CREEK ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",527,52,9.9,61,11.6,515,52,10.1,61,11.8,TRUE,"Elementary School"
"2018-2019",37,68296,6117469,"SAN DIEGO","POWAY UNIFIED","CREEKSIDE ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","5",575,64,11.1,72,12.5,560,63,11.3,71,12.7,TRUE,"Elementary School"
"2018-2019",37,68304,1,"SAN DIEGO","RAMONA CITY UNIFIED","NONPUBLIC, NONSECTARIAN SCHOOLS","Unified School District",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,28.6,2,28.6,6,2,33.3,2,33.3,TRUE,NA
"2018-2019",37,68304,102178,"SAN DIEGO","RAMONA CITY UNIFIED","FUTURE BOUND INDEPENDENT STUDY SECONDARY","Unified School District","Alternative Schools of Choice","ALTERNATIVE SCHOOL OF CHOICE",NA,NA,NA,NA,FALSE,"7","12",23,12,52.2,12,52.2,17,8,47.1,8,47.1,TRUE,"Other"
"2018-2019",37,68304,131250,"SAN DIEGO","RAMONA CITY UNIFIED","MOUNTAIN VALLEY ACADEMY","Unified School District","Alternative Schools of Choice","ALTERNATIVE SCHOOL OF CHOICE",NA,NA,NA,NA,FALSE,"K","12",222,43,19.4,44,19.8,221,43,19.5,44,19.9,TRUE,"Other"
"2018-2019",37,68304,131268,"SAN DIEGO","RAMONA CITY UNIFIED","RAMONA COMMUNITY MONTESSORI","Unified School District","Alternative Schools of Choice","ALTERNATIVE SCHOOL OF CHOICE",NA,NA,NA,NA,FALSE,"K","6",259,57,22,72,27.8,257,57,22.2,72,28,TRUE,"Other"
"2018-2019",37,68304,3735958,"SAN DIEGO","RAMONA CITY UNIFIED","MONTECITO HIGH (CONTINUATION)","Unified School District","Continuation High Schools","CONTINUATION SCHOOL",NA,NA,NA,NA,FALSE,"9","12",137,64,46.7,69,50.4,118,54,45.8,59,50,TRUE,"Other"
"2018-2019",37,68304,3735974,"SAN DIEGO","RAMONA CITY UNIFIED","RAMONA HIGH","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",1517,434,28.6,515,33.9,1458,409,28.1,489,33.5,TRUE,"High School"
"2018-2019",37,68304,6039028,"SAN DIEGO","RAMONA CITY UNIFIED","HANSON ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",536,295,55,345,64.4,528,291,55.1,340,64.4,TRUE,"Elementary School"
"2018-2019",37,68304,6039036,"SAN DIEGO","RAMONA CITY UNIFIED","RAMONA ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",446,293,65.7,347,77.8,435,286,65.7,337,77.5,TRUE,"Elementary School"
"2018-2019",37,68304,6105555,"SAN DIEGO","RAMONA CITY UNIFIED","JAMES DUKES ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",545,103,18.9,131,24,540,103,19.1,131,24.3,TRUE,"Elementary School"
"2018-2019",37,68304,6105563,"SAN DIEGO","RAMONA CITY UNIFIED","OLIVE PEIRCE MIDDLE","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"7","8",865,312,36.1,368,42.5,864,312,36.1,368,42.6,TRUE,"Middle School"
"2018-2019",37,68304,6107999,"SAN DIEGO","RAMONA CITY UNIFIED","MT. WOODSON ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",458,224,48.9,253,55.2,446,216,48.4,244,54.7,TRUE,"Elementary School"
"2018-2019",37,68304,6110720,"SAN DIEGO","RAMONA CITY UNIFIED","BARNETT ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"K","6",457,110,24.1,137,30,452,109,24.1,136,30.1,TRUE,"Elementary School"
"2018-2019",37,68312,6039051,"SAN DIEGO","RANCHO SANTA FE ELEMENTARY","R. ROGER ROWE ELEMENTARY","Elementary School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"P","5",382,13,3.4,13,3.4,382,13,3.4,13,3.4,TRUE,"Elementary School"
"2018-2019",37,68312,6070908,"SAN DIEGO","RANCHO SANTA FE ELEMENTARY","R. ROGER ROWE MIDDLE","Elementary School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"6","8",219,8,3.7,8,3.7,219,8,3.7,8,3.7,TRUE,"Middle School"
"2018-2019",37,68338,1,"SAN DIEGO","SAN DIEGO UNIFIED","NONPUBLIC, NONSECTARIAN SCHOOLS","Unified School District",NA,NA,NA,NA,NA,NA,NA,NA,NA,310,89,28.7,112,36.1,233,69,29.6,83,35.6,TRUE,NA
"2018-2019",37,68338,101204,"SAN DIEGO","SAN DIEGO UNIFIED","HIGH TECH MIDDLE","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,546,"DIRECTLY FUNDED",TRUE,"6","8",321,134,41.7,164,51.1,321,134,41.7,164,51.1,TRUE,"Middle School"
"2018-2019",37,68338,101345,"SAN DIEGO","SAN DIEGO UNIFIED","KIPP ADELANTE PREPARATORY ACADEMY","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL","CEP",NA,550,"DIRECTLY FUNDED",TRUE,"5","8",327,260,79.5,291,89,327,260,79.5,291,89,TRUE,"Middle School"
"2018-2019",37,68338,106732,"SAN DIEGO","SAN DIEGO UNIFIED","HIGH TECH HIGH INTERNATIONAL","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,623,"DIRECTLY FUNDED",TRUE,"9","12",391,122,31.2,157,40.2,388,122,31.4,155,39.9,TRUE,"High School"
"2018-2019",37,68338,106799,"SAN DIEGO","SAN DIEGO UNIFIED","LEARNING CHOICE ACADEMY","Unified School District","K-12 Schools (Public)","TRADITIONAL",NA,NA,659,"DIRECTLY FUNDED",TRUE,"K","12",566,190,33.6,234,41.3,555,188,33.9,230,41.4,TRUE,"Elementary School"
"2018-2019",37,68338,107029,"SAN DIEGO","SAN DIEGO UNIFIED","SAN DIEGO INTERNATIONAL STUDIES","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",1239,513,41.4,637,51.4,1222,505,41.3,626,51.2,TRUE,"High School"
"2018-2019",37,68338,107052,"SAN DIEGO","SAN DIEGO UNIFIED","SAN DIEGO BUSINESS/LEADERSHIP","Unified School District","High Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"9","12",531,386,72.7,435,81.9,513,373,72.7,418,81.5,TRUE,"High School"
"2018-2019",37,68338,107078,"SAN DIEGO","SAN DIEGO UNIFIED","KEARNY DIGITAL MEDIA & DESIGN","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",384,219,57,286,74.5,373,214,57.4,278,74.5,TRUE,"High School"
"2018-2019",37,68338,107086,"SAN DIEGO","SAN DIEGO UNIFIED","KEARNY SCT","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",356,227,63.8,272,76.4,342,217,63.5,260,76,TRUE,"High School"
"2018-2019",37,68338,107094,"SAN DIEGO","SAN DIEGO UNIFIED","KEARNY COLLEGE CONNECTIONS","Unified School District","High Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"9","12",382,224,58.6,289,75.7,369,217,58.8,280,75.9,TRUE,"High School"
"2018-2019",37,68338,107102,"SAN DIEGO","SAN DIEGO UNIFIED","KEARNY ENG INNOV & DESIGN","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",322,195,60.6,239,74.2,316,190,60.1,234,74.1,TRUE,"High School"
"2018-2019",37,68338,107177,"SAN DIEGO","SAN DIEGO UNIFIED","CRAWFORD HIGH","Unified School District","High Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"9","12",1119,932,83.3,1013,90.5,1067,887,83.1,966,90.5,TRUE,"High School"
"2018-2019",37,68338,107219,"SAN DIEGO","SAN DIEGO UNIFIED","SAN DIEGO SCIENCE AND TECHNOLOGY","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,NA,NA,FALSE,"9","12",773,524,67.8,610,78.9,751,512,68.2,593,79,TRUE,"High School"
"2018-2019",37,68338,107482,"SAN DIEGO","SAN DIEGO UNIFIED","SAN DIEGO METRO CAREER AND TECH","Unified School District","Alternative Schools of Choice","ALTERNATIVE SCHOOL OF CHOICE",NA,NA,NA,NA,FALSE,"9","12",135,52,38.5,63,46.7,132,51,38.6,62,47,TRUE,"Other"
"2018-2019",37,68338,107573,"SAN DIEGO","SAN DIEGO UNIFIED","HIGH TECH MIDDLE MEDIA ARTS","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,660,"DIRECTLY FUNDED",TRUE,"6","8",326,125,38.3,161,49.4,326,125,38.3,161,49.4,TRUE,"Middle School"
"2018-2019",37,68338,108266,"SAN DIEGO","SAN DIEGO UNIFIED","GOLDEN HILL K-8","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","8",399,274,68.7,325,81.5,388,267,68.8,316,81.4,TRUE,"Elementary School"
"2018-2019",37,68338,108274,"SAN DIEGO","SAN DIEGO UNIFIED","PORTER ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","6",835,716,85.7,783,93.8,826,707,85.6,774,93.7,TRUE,"Elementary School"
"2018-2019",37,68338,108282,"SAN DIEGO","SAN DIEGO UNIFIED","CHEROKEE POINT ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",378,317,83.9,363,96,368,310,84.2,354,96.2,TRUE,"Elementary School"
"2018-2019",37,68338,108290,"SAN DIEGO","SAN DIEGO UNIFIED","IBARRA ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",452,412,91.2,443,98,443,405,91.4,434,98,TRUE,"Elementary School"
"2018-2019",37,68338,108548,"SAN DIEGO","SAN DIEGO UNIFIED","IFTIN CHARTER","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,680,"DIRECTLY FUNDED",TRUE,"K","8",351,296,84.3,296,84.3,345,293,84.9,293,84.9,TRUE,"Elementary School"
"2018-2019",37,68338,108787,"SAN DIEGO","SAN DIEGO UNIFIED","HIGH TECH HIGH MEDIA ARTS","Unified School District","High Schools (Public)","TRADITIONAL",NA,NA,622,"DIRECTLY FUNDED",TRUE,"9","12",391,148,37.9,185,47.3,388,147,37.9,184,47.4,TRUE,"High School"
"2018-2019",37,68338,109033,"SAN DIEGO","SAN DIEGO UNIFIED","KING-CHAVEZ ARTS ACADEMY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,704,"DIRECTLY FUNDED",TRUE,"3","5",190,178,93.7,187,98.4,190,178,93.7,187,98.4,TRUE,"Elementary School"
"2018-2019",37,68338,109041,"SAN DIEGO","SAN DIEGO UNIFIED","KING-CHAVEZ ATHLETICS ACADEMY","Unified School District","Elementary Schools (Public)","TRADITIONAL",NA,NA,706,"DIRECTLY FUNDED",TRUE,"3","5",186,166,89.2,180,96.8,185,165,89.2,179,96.8,TRUE,"Elementary School"
"2018-2019",37,68338,109157,"SAN DIEGO","SAN DIEGO UNIFIED","MAGNOLIA SCIENCE ACADEMY SAN DIEGO","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,698,"DIRECTLY FUNDED",TRUE,"6","8",404,94,23.3,107,26.5,404,94,23.3,107,26.5,TRUE,"Middle School"
"2018-2019",37,68338,111864,"SAN DIEGO","SAN DIEGO UNIFIED","NORMAL HEIGHTS ELEMENTARY","Unified School District","Elementary Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"K","5",319,244,76.5,282,88.4,309,239,77.3,277,89.6,TRUE,"Elementary School"
"2018-2019",37,68338,111898,"SAN DIEGO","SAN DIEGO UNIFIED","ALBERT EINSTEIN ACADEMY CHARTER MIDDLE","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL",NA,NA,773,"DIRECTLY FUNDED",TRUE,"6","8",600,270,45,315,52.5,599,270,45.1,315,52.6,TRUE,"Middle School"
"2018-2019",37,68338,111906,"SAN DIEGO","SAN DIEGO UNIFIED","KING-CHAVEZ PREPARATORY ACADEMY","Unified School District","Intermediate/Middle Schools (Public)","TRADITIONAL","CEP",NA,772,"DIRECTLY FUNDED",TRUE,"6","8",364,346,95.1,363,99.7,364,346,95.1,363,99.7,TRUE,"Middle School"
"2018-2019",37,68338,114025,"SAN DIEGO","SAN DIEGO UNIFIED","LINCOLN HIGH","Unified School District","High Schools (Public)","TRADITIONAL","CEP",NA,NA,NA,FALSE,"9","12",1541,1187,77,1299,84.3,1492,1148,76.9,1256,84.2,TRUE,"High School"
